Disease,NIH AUROC,CheXpert AUROC,Gap
Atelectasis,0.8256,0.7722,-5.3%
Cardiomegaly,0.9242,0.7987,-12.6%
Consolidation,0.8268,0.8426,+1.6%
Edema,0.9236,0.8103,-11.3%
Effusion,0.8962,0.8461,-5.0%
Pneumonia,0.7714,0.73,-4.1%
Pneumothorax,0.8993,0.7949,-10.4%
macro_avg,0.8667,0.7993,-6.7%
