기준,Threshold,Sensitivity,Specificity,PPV,NPV
Youden's J,0.2877861559391022,0.8562874251497006,0.8355704697986577,0.09920221990981616,0.9963759909399773
Sensitivity 90%,0.008593702409416395,1.0,0.30644548562745344,0.029588944011339477,1.0
Specificity 90%,0.6961715579032898,0.6676646706586826,0.9356084589084462,0.17983870967741936,0.9925443310048361
