Disease,NIH AUROC,CheXpert AUROC,Gap
Atelectasis,0.8256,0.7697,-5.6%
Cardiomegaly,0.9242,0.7305,-19.4%
Consolidation,0.8268,0.8667,+4.0%
Edema,0.9236,0.8214,-10.2%
Effusion,0.8962,0.8511,-4.5%
Pneumonia,0.7714,0.7874,+1.6%
Pneumothorax,0.8993,0.6747,-22.5%
macro_avg,0.8667,0.7859,-8.1%
