Disease,Male AUROC,Female AUROC,Gap
Cardiomegaly,0.9341627848495371,0.911055912071426,+2.3%
Effusion,0.8890801635441878,0.9040023521699732,-1.5%
Hernia,0.9191714941523663,0.9287127997688529,-1.0%
